artist,duration_ms_x,explicit,track_number,acousticness,danceability,duration_ms_y,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Post Malone,220880,TRUE,1,0.566,0.74,220880,0.558,0,8,0.112,-8.115,1,0.102,140.057,4,0.421
Cardi B,253390,TRUE,7,0.099,0.816,253390,0.726,0,5,0.372,-3.998,0,0.129,136.048,4,0.65
The Weeknd,228373,FALSE,1,0.211,0.449,228373,0.599,0,1,0.327,-4.892,1,0.0369,134.144,3,0.165
Cardi B,210787,TRUE,5,0.0256,0.82,210787,0.568,0,6,0.0952,-8.23,0,0.411,152.279,4,0.535
Post Malone,223346,TRUE,7,0.0777,0.573,223347,0.543,0,8,0.199,-5.357,0,0.0398,143.916,4,0.308
Khalid,201707,FALSE,1,0.0956,0.708,201707,0.648,0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
Post Malone,218320,TRUE,1,0.13,0.575,218320,0.535,0.00013,5,0.143,-6.637,0,0.0776,159.764,4,0.127
J. Cole,191436,TRUE,2,0.21,0.831,191437,0.782,0,0,0.113,-6.274,1,0.15,141.869,4,0.199
Cardi B,200205,TRUE,13,0.27,0.886,200205,0.473,2.58E-05,7,0.0864,-7.338,0,0.255,135.065,4,0.438
Post Malone,231266,TRUE,9,0.354,0.68,231267,0.563,0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
Post Malone,221786,FALSE,1,0.0379,0.61,221787,0.554,3.84E-05,0,0.166,-5.501,1,0.137,159.85,4,0.244
Migos,190288,TRUE,9,0.00299,0.815,190288,0.816,0,2,0.159,-5.474,1,0.269,181.967,4,0.498
J. Cole,200309,TRUE,7,0.482,0.829,200310,0.527,0,6,0.631,-6.644,0,0.367,116.078,4,0.473
J. Cole,216726,TRUE,5,0.115,0.719,216727,0.497,0,8,0.0898,-7.661,1,0.681,81.651,4,0.345
Post Malone,194560,TRUE,2,0.337,0.669,194560,0.675,1.50E-05,1,0.109,-2.869,1,0.0337,160.911,4,0.262
Post Malone,206453,TRUE,3,0.186,0.601,206453,0.59,0,2,0.0942,-5.001,1,0.0569,151.952,4,0.274
The Weeknd,220293,TRUE,3,0.622,0.562,220293,0.674,2.04E-05,10,0.111,-6.049,0,0.0851,122.699,4,0.293
Bebe Rexha,163870,FALSE,6,0.047,0.643,163870,0.783,0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
Post Malone,204426,TRUE,12,0.414,0.479,204427,0.468,0,5,0.148,-5.396,1,0.0274,85.913,4,0.35
Post Malone,246986,TRUE,7,0.131,0.559,246987,0.761,1.60E-06,4,0.143,-4.041,0,0.0877,163.898,4,0.24
Post Malone,204360,TRUE,4,0.143,0.742,204360,0.84,0,5,0.133,-5.198,0,0.0471,138.032,4,0.287
King Princess,225133,TRUE,1,0.648,0.6,225133,0.535,4.70E-06,4,0.162,-7.043,1,0.107,71.912,4,0.269
J. Cole,218953,TRUE,3,0.0299,0.825,218954,0.487,0,1,0.0868,-6.416,1,0.233,105.05,3,0.372
J. Cole,190176,TRUE,12,0.147,0.678,190177,0.648,0,2,0.182,-5.892,1,0.445,94.336,4,0.635
Post Malone,206266,TRUE,10,0.493,0.792,206267,0.56,0,9,0.0849,-4.125,1,0.225,134.044,4,0.505
Ed Sheeran,263400,FALSE,5,0.163,0.599,263400,0.448,0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
Post Malone,216746,TRUE,5,0.597,0.767,216747,0.625,0,5,0.409,-6.193,1,0.0836,120.092,4,0.577
Cardi B,177139,TRUE,8,0.049,0.767,177140,0.543,0,1,0.115,-7.881,0,0.103,106.029,4,0.485
Post Malone,212466,TRUE,14,0.379,0.727,212467,0.774,2.47E-06,10,0.114,-5.246,0,0.0588,99.932,4,0.211
Zedd,184732,FALSE,1,0.198,0.745,184732,0.652,0,7,0.133,-3.099,1,0.0604,106.809,4,0.409
Cardi B,224284,TRUE,10,0.00111,0.908,224285,0.524,0.000678,1,0.383,-7.955,1,0.181,138.015,4,0.109
Post Malone,204426,FALSE,12,0.432,0.293,204427,0.464,0,5,0.148,-5.161,1,0.03,84.706,4,0.343
