artist.hotttnesss,artist.name,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotttnesss,song.id,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,title,year
0.417499645,The Box Tops,0.007,0.71054,1,0.20627,148.03546,0.148,0.630630038,6,0.169,35.14968,"Memphis, TN",-90.04892,-9.843,0,0.43,300822,Dimensions,ARSZWK21187B9B26D7,,SOCIWDW12A8C13D406,137.915,0.969,0.20627,121.274,blue-eyed soul,1,4,0.384,Soul Deep,1969
0.416173065,Terry Callier,0.145,0.96908,0.708,0.42073,342.56934,0.063,0.706827671,6,0.381,41.88415,Chicago,-87.63241,-11.939,1,0.538,228326,Occasional Rain,ARTB5PP1187FB523B7,0.413739836,SOGNCJP12A58A80271,333.154,0.462,0.13836,110.189,soul jazz,0.985011245,3,0.353,Do You Finally Need A Friend,1972
0.579988982,Van Halen,0.812,0.34761,0.812,0.34761,209.29261,0,0.744641246,8,0.455,37.15735675,"Pasadena, CA",-63.93335787,-4.865,1,0.48,7133,The Best Of Both Worlds,ARZK3VD1187B99EB47,0.82448213,SOLRYQR12A670215BF,206.623,0.775,0.14268,140.995,heavy metal,0.999932033,1,0.41,Panama (Remastered Album Version),0
0.389100776,Lesley Gore,1,0.06727,1,0.06727,136.48934,0.229,0.606925359,9,0.386,40.71455,"New York, NY",-74.00712,-9.091,1,0.632,26902,60's Triple set,ARAJPHH1187FB5566A,,SOOOROX12A6D4F8400,130.026,0.782,0.06727,129.122,brill building pop,1,1,0,It's My Party,1963
0.481024239,Glen Campbell,0.153,0.09896,1,0.09896,142.75873,0.218,0.67159627,1,0.62,34.03142,"Delight, AR",-93.50243,-11.335,0,0.814,112851,Unconditional Love,ARGIABO1187FB4B3B5,,SOQGFVO12A8C13C8C3,135.546,0.614,0.09896,137.29,country rock,0.970825545,4,0,I'm Gone This Time,0
0.374271174,Horace Andy,0.025,0.87289,1,0.4435,176.27383,0.183,0.626436382,2,0.171,18.01571,"Kingston, Jamaica",-76.79731,-11.479,1,0.239,784530,Feel Good All Over: Anthology 1970-1976,ARABKKO11F50C4D0A5,,SOBHVZQ12AC9618285,166.911,1,0.23251,151.911,roots reggae,1,4,0.231,Thank You Lord,1985
0.537537201,The B-52's,0.555,0.45372,0,0.45372,261.74649,3.489,0.681598553,0,0.427,37.15735675,"Athens, GA",-63.93335787,-9.628,1,0.398,53826,The B52's,ARDW1CO1187B9AD318,0.714046553,SONRSQW12A6D4F6D1C,250.921,0.386,0.20062,124.086,dance rock,1,4,0.366,Wig,1986
0.374271174,Horace Andy,0.636,0.55116,0.636,0.55116,234.44853,0.374,0.626436382,10,0.166,18.01571,"Kingston, Jamaica",-76.79731,-10.173,0,0.211,206882,Exclusively,ARABKKO11F50C4D0A5,0.345802234,SOAESJW12A8C137CC2,222.546,0.842,0.55116,102.055,roots reggae,1,1,0,Musical Episode,2005
0.409292117,The Field Mice,0.02,0.5877,0.91,0.21538,316.73424,0.165,0.60542429,3,0.356,37.15735675,Not available,-63.93335787,-15.54,1,0.524,216819,Coastal,ARFHFL91187FB52EC9,0.531612769,SOCVGQS12A8C13D7DF,307.177,0.453,0.21538,162.682,twee pop,0.883212566,4,0,When Morning Comes To Town,1989
0.414236248,The Jeff Healey Band,0.362,0.53173,0.55,0.53173,313.7824,0.427,0.716854352,7,0.241,37.15735675,Not available,-63.93335787,-11.488,1,0.362,711137,Road House,ART3O5Z1187B9AB043,,SOFVRCJ12AB018B4DA,308.094,0.331,0.53173,107.197,blues-rock,0.962148617,3,1,Hoochie Coochie Man,1989
0.362902986,Danny Wilson,0.242,0.81851,0.844,0.50946,167.20934,0,0.559991415,7,0.605,56.46137,"Dundee, Scotland",-2.96761,-7.928,1,0.677,160060,Bebop Moptop,AROXQGK1187FB4560B,,SOFHQCR12A8C138A74,156.34,0.347,0.3557,196.034,british pop,0.91052814,4,0.868,The Second Summer Of Love,1989
0.568350503,Tom Petty,0.353,0.65355,1,0.187,236.17261,0.131,0.779838092,9,0.58,37.15735675,"Gainesville, FL",-63.93335787,-4.954,1,0.539,542173,Wildflowers,ARSAIUN1187FB398D3,,SOFFKZS12AB017F194,227.875,1,0.187,129.122,heartland rock,1,4,0,A Higher Place (Album Version),1994
0.444025681,Neil Sedaka,0.093,1.61515,0.385,0.08166,170.84036,0,0.720842183,4,0.44,37.15735675,"Brooklyn, NY",-63.93335787,-9.448,0,0.542,307149,Love Songs,AR15FAX1187FB52616,,SOIUJEF12A8C13C878,165.32,0.91,0.08166,76.013,brill building pop,1,3,0.303,Because Of You,1999
0.38479891,Bobbie Gentry,0.783,0.08249,0.783,0.08249,177.57995,0.125,0.582460567,2,0.724,33.90698,"Chickasaw County, MS",-88.95535,-13.134,1,0.647,60339,The Best of Bobbie Gentry: The Capitol Years,ARJOEGM1187B9B8F24,,SONETAK12A6D4FB69A,167.544,0,0.08249,152.434,country blues,0.975475975,1,0.066,Courtyard,1968
0.473636665,B.A.D.,0.783,1.11122,1,0.48063,102.03383,0.45,0.583989842,0,0.032,51.50632,"London, England",-0.12714,-5.653,1,0.262,156038,B.A.D. (Be A Devil),ARHJIKW1187B9ACE16,,SOKIXDM12A8C136E04,96.897,1,0.16015,95.655,dance rock,0.879547101,4,1,Interlude,0
0.435468899,J.J. Cale,1,0.31164,1,0.31164,202.94485,0.264,0.675766804,6,0.407,35.472,"Oklahoma City, OK",-97.52033,-18.863,0,0.411,22096,#8,ARWBYRS1187FB3DE02,,SONUYNP12C41E0741F,194.502,0.958,0.08238,133.398,blues-rock,1,1,0,Trouble In The City,1983
0.472281211,Keb' Mo',0.005,1.73243,0.563,0.42031,190.56281,0,0.632130913,2,0.815,34.05349,"Los Angeles, CA",-118.24532,-10.548,1,0.631,308612,Suitcase,ARA7Y2Y1187B9B8588,,SOMLPQI12A8C13EE3F,179.188,1,0.09463,89.966,blues,1,4,1,Still There For Me,2006
0.398349517,THE CHIFFONS,0.113,0.58255,0.64,0.58255,166.922,0.327,0.599536502,3,0,40.85715,"New York, NY [The Bronx]",-73.85678,-7,0,0.02,762451,60's Girl Groups,ARXY7M01187B9B7611,0,SOTCPOF12AB01885FE,157.872,0.753,0.41348,120.712,doo-wop,0.923679184,3,0.825,Doctor Of Hearts (Album Version),0
0.503151606,Rickie Lee Jones,0.732,0.54212,0.732,0.54212,221.12608,0,0.670615396,7,1,37.15735675,"Chicago, IL",-63.93335787,-21.978,1,0.851,762361,Naked Songs Live And Acoustic,ARDW5AW1187FB55708,0.212045406,SOUOZQB12AB0186284,211.302,0.43,0.17983,70.331,folk rock,0.989622403,1,0.863,Skeletons (Live Acoustic Version),0
0.422127199,Kathy Mattea,0.944,0.18712,0.944,0.18712,44.64281,0,0.603383145,1,0.426,37.15735675,"Cross Lane, WV",-63.93335787,-16.504,0,0.544,243895,Coal,ARO7FVB1187B9A53D8,0.323112121,SOTTJUN12A8C132C22,44.643,0.307,0.18712,146.894,bluegrass,0.959671631,1,0,Sally In the Garden,2008
0.529995833,Jeff Beck,0.813,0.39985,0.813,0.39985,286.27546,0,0.747684013,4,0.315,51.27172,"Wallington, Surrey, England",-0.39535,-7.74,0,0.447,363561,Performing this week... At Ronnie Scotts,AR8SRQ31187FB4D477,0.771471753,SOFDOAD12A58A7BAD3,282.529,0.145,0.19581,145.917,blues-rock,0.999962084,1,0,A Day In The Life (Album Version),0
0.568350503,Tom Petty And The Heartbreakers,0.76,0.38636,0,0.38636,274.20689,2.746,0.779838092,7,0.45,37.15735675,"Gainesville, FL",-63.93335787,-8.962,0,0.479,22353,Greatest Hits,ARSAIUN1187FB398D3,,SOLFDCM12A6D4F7A7C,262.774,0.182,0.21004,168.946,heartland rock,1,4,1,Mary Jane's Last Dance,0
0.435468899,J.J. Cale,1,0.19756,1,0.19756,263.94077,0.13,0.67577137,0,0.951,35.472,"Oklahoma City, OK",-97.52033,-14.293,1,0.683,94209,The Very Best Of J.J. Cale,ARWBYRS1187FB3DE02,0.557313136,SOICEAK12A6D4F4819,260.882,1,0.19756,111.492,blues-rock,1,1,0,Midnight In Memphis,1997
0.374271174,Horace Andy,0.093,0.28352,0.093,0.28352,284.47302,0,0.626436382,6,0.614,18.01571,"Kingston, Jamaica",-76.79731,-4.812,0,0.55,236132,Livin' It Up + Dub: Limited edition,ARABKKO11F50C4D0A5,0.270775999,SOADEVO12A8AE4865B,273.421,0.756,0.28352,174.282,roots reggae,1,1,0.196,Rastafari Prophecy,0
0.417499645,The Box Tops,0.034,0.72854,0.801,0.22324,177.3971,0.171,0.630630038,0,0.552,35.14968,"Memphis, TN",-90.04892,-10.393,1,0.871,300821,The Letter/Neon Rainbow,ARSZWK21187B9B26D7,,SOETFQZ12A8C13C7DA,171.746,0.623,0.22324,117.381,blue-eyed soul,1,4,0,Neon Rainbow,1967
0.416173065,Terry Callier,0.805,0.9537,0,0.39475,180.50567,3.512,0.706827671,7,0.695,41.88415,Chicago,-87.63241,-8.154,1,0.556,22367,Essential_ The Very Best Of...,ARTB5PP1187FB523B7,0.360370583,SOVUDJB12A6D4F68C4,169.546,0.015,0.20873,109.018,soul jazz,0.985011245,3,1,Blues,2001
0.479187492,Little Feat,0,0.16726,1,0.16726,228.98893,0.212,0.674913858,0,0.177,34.05349,"Los Angeles, CA",-118.24532,-9.978,1,0.561,45697,The Best Of Little Feat,ARWBYRS1187FB3DE02,0.270775999,SOCSLWU12A58A7E43A,212.172,0.701,0.16726,97.342,blues-rock,1,4,0,Down On The Farm (2006 Remastered Edit Version),2006
0.360445766,Mikey Dread,0,0.18049,0,0.18049,373.26322,0.978,0.58568315,1,0.25,18.11526,Jamaica,-77.27348,-13.192,0,0.276,243041,Dub Catalogue,ARBZCLP1187B99C35B,,SODDPYN12A8C132735,364.008,0.466,0.18049,145.055,roots reggae,0.924399296,1,0,Two Track Dub (Dub / Instrumental Reggae Music),1982
0.543225521,Randy Travis,0.037,0.94943,1,0.37413,198.76526,0.119,0.787877691,10,0.529,37.15735675,"Marshville, NC",-63.93335787,-11.611,1,0.578,12539,Wind In The Wire,AR2U4Y11187B98DE15,,SOEQJUL12A6701D4CE,191.042,0.586,0.18237,104.799,country gospel,1,4,0.163,Down At The Old Corral (Album Version),1993
0.441106359,Irma Thomas,0.066,1.77226,0.55,0.48272,240.69179,0.136,0.623823768,3,0.49,30.43883,"Ponchatoula, LA",-90.44116,-5.762,1,0.564,750413,Rounder Records' 40th Anniversary Concert,ARXBG1X1187FB42A79,,SOKANHN12AB01841D0,233.326,0.628,0.05471,103.206,delta blues,0.973191971,4,0.423,River Is Waiting,2008
0.543225521,Randy Travis,0.031,0.36717,1,0.36717,211.40853,0.218,0.787877691,10,0.89,37.15735675,"Marshville, NC",-63.93335787,-14.172,0,0.897,12539,Wind In The Wire,AR2U4Y11187B98DE15,0.215080319,SOZUUEA12A6701D4D2,200.046,0.732,0.36717,95.655,country gospel,1,4,0.557,Wind In The Wire (Album Version),1993
0.38479891,Glen Campbell And Bobbie Gentry,0.099,0.66335,0.569,0.07113,183.11791,0.125,0.582460567,7,0.59,33.90698,"Chickasaw County, MS",-88.95535,-13.881,1,0.627,60339,The Best of Bobbie Gentry: The Capitol Years,ARJOEGM1187B9B8F24,0.555016409,SOSXYJQ12A6D4FB699,176.448,0.044,0.07113,101.577,country blues,0.975475975,4,0,Mornin' Glory,1968
0.543225521,Randy Travis,0.011,1.95392,0.961,0.70141,187.53261,0.255,0.787877691,5,0.731,37.15735675,"Marshville, NC",-63.93335787,-12.324,1,0.639,62238,Trail Of Memories:  The Randy Travis Anthology,AR2U4Y11187B98DE15,0.215080319,SOJENAR12A67021592,177.673,0.636,0.28987,95.781,country gospel,1,4,0,On The Other Hand (Remastered Album Version),0
0.497050959,The Stooges,0.848,0.47505,0.848,0.47505,328.9073,0,0.732603394,9,0.875,42.32807,"Ann Arbor, MI",-83.7336,-6.862,1,0.59,65428,1970: The Complete Fun House Sessions,ARE8GLF1187FB52532,,SODXJGJ12A6D4F9E5D,324.156,0.633,0.25907,132.595,experimental rock,0.840760794,1,0,T.V. Eye (Take 3),1999
0.382593001,Freddie King,0.851,0.44405,0.851,0.44405,226.06322,0.369,0.609636698,11,0.462,37.15735675,"Gilmer, TX",-63.93335787,-14.977,1,0.355,284736,Woman Across The River (World),ARGRWEZ1187B9AC382,,SOLRGXU12A8C132FD7,212.312,0.598,0.21979,135.951,texas blues,1,1,0.014,Boogie Man,1973
0.503151606,Rickie Lee Jones,0.276,0.55897,0.377,0.55897,308.92363,0,0.670615396,9,0.397,37.15735675,"Chicago, IL",-63.93335787,-18.105,1,0.521,762361,Naked Songs Live And Acoustic,ARDW5AW1187FB55708,0,SOSNZGD12AB0186296,305.087,0.047,0.18847,60.757,folk rock,0.989622403,3,0.844,Coolsville (Live Acoustic Version),0
0.367869339,Mink DeVille,0.055,1.11938,0.843,0.49919,166.03383,0.462,0.546460288,9,0.12,40.71455,"New York, NY",-74.00712,-13.589,0,0.203,813922,Cabretta,ARDWGUT1187B9A445B,,SOGHNTC12AB0188168,161.634,0.67,0.49919,109.057,blues-rock,0.981095523,4,0,She's So Tough,1977
0.503151606,Rickie Lee Jones,0.445,0.25073,0.36,0.25073,291.57832,0.102,0.670615396,7,0.559,37.15735675,"Chicago, IL",-63.93335787,-19.544,1,0.444,47592,Flying Cowboys,ARDW5AW1187FB55708,0.469712431,SOAGJGA12A6D4F980C,280.143,0.326,0.09201,189.524,folk rock,0.989622403,4,0,Love Is Gonna Bring Us Back Alive,1989
0.497050959,The Stooges,0.172,1.30661,1,0.04987,169.66485,0.199,0.732603394,11,0.755,42.32807,"Ann Arbor, MI",-83.7336,-3.968,0,0.557,21200,The Stooges [Deluxe Edition],ARE8GLF1187FB52532,0.651303726,SOBCTDP12A6D4F7602,156.636,0.45,0.04987,148.458,experimental rock,0.840760794,5,0.444,Not Right (Remastered LP Version),0
